latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
30.97734,76.59803,338.5,0.4,0.44,2021-04-09,2100,N,VIIRS,n,2.0NRT,291.5,6.2,N
30.89125,74.66865,304.3,0.48,0.4,2021-04-09,2100,N,VIIRS,n,2.0NRT,284,0.9,N
30.98048,76.60323,328.1,0.4,0.44,2021-04-09,2100,N,VIIRS,n,2.0NRT,289.6,6.2,N
30.97418,76.59286,301.7,0.4,0.44,2021-04-09,2100,N,VIIRS,n,2.0NRT,289.8,0.8,N
30.98133,76.59915,355.4,0.4,0.44,2021-04-09,2100,N,VIIRS,n,2.0NRT,296.1,6.2,N
29.92039,75.56862,335.7,0.51,0.41,2021-04-10,0818,N,VIIRS,l,2.0NRT,310.6,5.5,D
31.89665,74.75518,335.1,0.49,0.4,2021-04-10,0818,N,VIIRS,n,2.0NRT,305,3.5,D
32.37182,75.74825,334.9,0.56,0.43,2021-04-10,0818,N,VIIRS,n,2.0NRT,309.8,2.6,D
31.82257,75.7289,347.7,0.55,0.42,2021-04-10,0818,N,VIIRS,n,2.0NRT,318.6,19.8,D
31.48993,76.05258,339.6,0.56,0.43,2021-04-10,0818,N,VIIRS,l,2.0NRT,310.8,5.4,D
31.82323,75.73469,336.1,0.55,0.42,2021-04-10,0818,N,VIIRS,l,2.0NRT,310.4,19.8,D
30.71112,76.68552,344.4,0.4,0.44,2021-04-10,0818,N,VIIRS,n,2.0NRT,318.1,3.4,D
31.29942,76.38303,340.5,0.39,0.44,2021-04-10,0818,N,VIIRS,l,2.0NRT,311.3,18,D
31.29538,76.38361,348.2,0.39,0.44,2021-04-10,0818,N,VIIRS,n,2.0NRT,322.8,18,D
30.69668,76.74889,309.2,0.4,0.37,2021-04-10,2042,N,VIIRS,n,2.0NRT,292.2,0.6,N
31.78592,75.65559,338.8,0.39,0.36,2021-04-11,0800,N,VIIRS,l,2.0NRT,312.2,2.8,D
30.89578,76.78461,354.6,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,322.7,14.5,D
30.89461,76.7764,350.5,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,318.5,9.6,D
30.89185,76.78115,352,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,318.1,11.9,D
30.89402,76.77231,352,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,319.3,7.4,D
30.89912,76.78398,346.6,0.39,0.36,2021-04-11,0800,N,VIIRS,l,2.0NRT,316.8,14.5,D
30.89736,76.77166,353,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,321.2,7.4,D
31.52128,75.83317,346.4,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,311.7,5.7,D
31.52188,75.83722,340.6,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,314,6.8,D
30.90187,76.77921,351.2,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,318.8,5.9,D
30.90129,76.77509,345.1,0.39,0.36,2021-04-11,0800,N,VIIRS,l,2.0NRT,318.5,5.9,D
30.9007,76.771,349.1,0.39,0.36,2021-04-11,0800,N,VIIRS,n,2.0NRT,317.2,6.5,D
30.88873,76.78635,297.2,0.45,0.39,2021-04-11,2024,N,VIIRS,n,2.0NRT,273.5,0.7,N
30.89472,76.76833,301.2,0.45,0.39,2021-04-11,2024,N,VIIRS,n,2.0NRT,274.9,0.8,N
31.47984,76.08067,348.2,0.47,0.4,2021-04-12,0742,N,VIIRS,n,2.0NRT,311.4,9.7,D
30.91042,76.77609,339.6,0.45,0.39,2021-04-12,0742,N,VIIRS,n,2.0NRT,308.1,4.8,D
31.48076,76.08569,357,0.47,0.4,2021-04-12,0742,N,VIIRS,n,2.0NRT,316.2,17.1,D
31.10413,76.61939,335.5,0.46,0.39,2021-04-12,0742,N,VIIRS,l,2.0NRT,308.7,4.6,D
